연번,의료기관명,요양종별,관계 행정기관,근거 법령,설립형태,응급지정,허가병상수,주소,홈페이지,대표전화,FAX
124,대전광역시온마음병원,정신병원,대전광역시,대전광역시립정신병원 설치조례,공립(시도립),,175,"대전광역시 유성구 진잠옛로135번길 87 (학하동, (학하동))",http://www.ssbw.co.kr/,042-823-9101,042-823-4405
125,전북대학교병원,상급종합병원,교육부,국립대학병원 설치법,국립,권역응급의료센터,1100,"전북특별자치도 전주시 덕진구 건지로 20 (금암동, (금암동))",http://www.jbuh.co.kr,063-250-1129,1577-7877
126,전북특별자치도 남원의료원,종합병원,전북특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,248,"전북특별자치도 남원시 충정로 365 (고죽동,(고죽동))",https://www.namwonmed.or.kr:19005/,063-620-1114,063-620-1196
127,전북특별자치도 군산의료원,종합병원,전북특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,330,"전북특별자치도 군산시 의료원로 27 (지곡동,(지곡동, 군산의료원))",https://www.kunmed.or.kr/,063-472-5000,063-472-5410
128,진안군의료원,병원,전북특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,74,전북특별자치도 진안군 진안읍 진무로 1145-0,http://www.jgmc.kr/,063-430-7000,063-430-7000
129,전주시립요양병원,요양병원,전북특별자치도,전주시립요양병원 설치 및 운영 조례,공립(시군구립),,174,"전북특별자치도 전주시 완산구 능안자구길 80 (삼천동3가,(삼천동3가))",http://www.jeonjuhos.co.kr/,063-220-9700,063-220-9700
130,정읍시립요양병원,요양병원,전북특별자치도,정읍시 시립요양병원 설치 및 운영 조례,공립(시군구립),,199,"전북특별자치도 정읍시 금붕1길 160-15 (금붕동,(금붕동))",www.jcgh.kr,063-531-0075,063-531-0075
131,완주군아름다운노인전문병원,요양병원,전북특별자치도,완주군치매요양병원설치 및 운영조례,공립(시군구립),,78,전북특별자치도 완주군 상관면 북치길 44-54,http://www.shofbeauty.com,063-717-3303,063-717-3300
132,부안군노인요양병원,요양병원,전북특별자치도,부안군 노인요양병원 설치 및 운영조례,공립(시군구립),,97,전북특별자치도 부안군 부안읍 봉두길 68,www.buangh.kr,063-581-9116,063-581-9116
133,전북특별자치도 고창노인요양병원,요양병원,전북특별자치도,전북특별자치도 도립병원 설치 및 운영 조례,공립(시도립),,199,전북특별자치도 고창군 고창읍 고인돌대로 1765,http://noinhospital.net/main.php,063-560-6100,063-563-7600
134,전북특별자치도 남원노인요양병원,요양병원,전북특별자치도,전북특별자치도 도립병원 설치 및 운영 조례,공립(시도립),,201,"전북특별자치도 남원시 산성길 51-15 (산곡동,(산곡동))",http://www.nwhospital.co.kr/,063-630-7777,063-630-7700
135,전북특별자치도마음사랑병원,정신병원,전북특별자치도,전북특별자치도 도립병원 설치 및 운영 조례,공립(시도립),,560,전북특별자치도 완주군 소양면 소양로 465-23,http://www.maeumsarang.co.kr/,063-240-2100,063-240-2117
136,전북대학교치과병원,치과병원,교육부,국립대학치과병원 설치법,공립(기타),,0,"전북특별자치도 전주시 덕진구 건지로 20 (금암동,(치과병원동,장애인구강진료센터)동 (금암동, 전북대학교병원))",https://www.jbuh.co.kr/dent.do,063-1577-7877,1577-7877
137,전남대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),권역응급의료센터,1042,광주광역시 동구 제봉로 42 (학동),http://www.cnuh.com,062-1899-0000,062-220-5011
138,광주보훈병원,종합병원,국가보훈부,한국보훈복지의료공단법,공립(기타),지역응급의료기관,540,광주광역시 광산구 첨단월봉로 99 (산월동),http://gwangju.bohun.or.kr,062-602-6114,062-602-6114
139,목포시의료원,종합병원,전라남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,299,"전라남도 목포시 이로로 18 (용해동, (용해동))",http://www.mokpomc.or.kr,061-260-6500,061-260-6500
140,화순전남대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),지역응급의료센터,655,전라남도 화순군 화순읍 서양로 322,http://www.cnuhh.com,061-379-7114,061-379-7541
141,근로복지공단 순천병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),,266,"전라남도 순천시 조례1길 24 (조례동, (조례동))",www.comwel.or.kr/suncheon,061-720-7575,061-720-7114
142,빛고을전남대학교병원,종합병원,교육부,국립대학병원 설치법,공립(기타),,178,"광주광역시 남구 덕남길 80-0, 1동 (덕남동,전남대학교병원류마티스전문질환센터)",https://www.cnubh.com,062-670-9421,062-670-9410
143,전라남도 순천의료원,종합병원,전라남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,267,전라남도 순천시 서문성터길 2 (매곡동),http://jsmc.or.kr,061-759-9440,061-759-9114
144,국립나주병원,정신병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,195,전라남도 나주시 산포면 세남로 1328-31,http://www.najumh.go.kr,061-330-4108,061-330-4114
145,국립목포병원,병원,질병관리청,질병관리청과 그 소속기관 직제,국립,,204,"전라남도 목포시 신지마을1길 75 (석현동,국립목포병원)",http://www.tbmokpo.go.kr,061-280-1114,061-280-1114
146,전라남도 강진의료원,병원,전라남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,199,전라남도 강진군 강진읍 탐진로 5,https://www.gjmed.or.kr/,061-433-2167,061-433-2167
147,국립소록도병원,병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,674,전라남도 고흥군 도양읍 소록해안길 65,www.sorokdo.go.kr,061-840-0512,061-840-0500
148,국군함평병원,병원,국방부,국군조직법,군병원,,100,전라남도 함평군 해보면 신해로 1027,https://demis.mil.kr/afmc/,061-390-5114,1688-9153
149,호남권역재활병원,병원,광주광역시,장애인복지법,공립(기타),,191,광주광역시 북구 하서로 590 (본촌동),http://www.honamhosp.or.kr/,062-613-9000,062-613-9000
150,장흥통합의료병원,병원,전라남도,장흥통합의료병원 설치 및 운영에 관한 조례,공립(시군구립),,100,전라남도 장흥군 안양면 로하스로 121,www.wkujim.co.kr,061-860-7777,061-860-7777
151,영광군공립요양병원,요양병원,전라남도,영광군공립요양병원 설치 및 운영 조례,공립(시군구립),,142,전라남도 영광군 영광읍 와룡로 3-1,http://ge.ygmc.co.kr/,061-350-7500,061-353-7500
152,공립무안군노인전문요양병원,요양병원,전라남도,공립 무안군 노인전문요양병원 설치·운영 조례,공립(시군구립),,132,전라남도 무안군 무안읍 몽탄로 51-12,http://www.muansh.co.kr,061-453-7007,061-453-7007
153,진도군노인전문요양병원,요양병원,전라남도,진도군 노인전문요양병원 설치 및 운영 조례,공립(시군구립),,66,전라남도 진도군 의신면 운림산방로 31,http://xn--6e0bm0fm5be0mponnobbmh7b99a45i.kr/B/B/index.html,061-542-3004,061-542-3004
154,보성군립요양병원,요양병원,전라남도,보성군립요양병원 설치 및 운영에 관한 조례,공립(시군구립),,168,전라남도 보성군 벌교읍 남하로 4-10,https://bshospital.kr/,061-859-9000,061-857-9001
155,고흥군공립노인전문요양병원,요양병원,전라남도,고흥군 공립노인전문요양병원 설치 및 운영 조례,공립(시군구립),,171,전라남도 고흥군 고흥읍 고흥로 1941,http://www.kgh.co.kr,061-830-4100,061-830-3100
156,여수시립요양병원,요양병원,전라남도,여수시립요양병원 설치 및 운영조례,공립(시군구립),,136,전라남도 여수시 둔덕5길 29 (둔덕동),http://www.yshospital.kr/,061-653-9119,061-653-9119
157,광양시공립노인전문요양병원,요양병원,전라남도,광양시 공립 노인전문요양병원 설치 및 운영 조례,공립(시군구립),,174,"전라남도 광양시 진등길 91 (마동, (마동))",http://www.gyh.co.kr,061-797-8200,061-797-8200
158,화순군립요양병원,요양병원,전라남도,화순군립요양병원 설치 및 운영에 관한 조례,공립(시군구립),,186,전라남도 화순군 화순읍 서양로 330,www.cnuhgh.com,061-379-6114,061-379-6114
159,신안군공립요양병원,요양병원,전라남도,신안군 공립 요양병원 설치 및 운영 조례,공립(기타),,80,전라남도 신안군 압해읍 구항길 92-50,www.신안군공립요양병원.kr,061-260-2706,061-260-2700
160,함평군공립요양병원,요양병원,전라남도,함평군 공립요양병원 설치 및 운영 조례,공립(시군구립),,170,전라남도 함평군 학교면 학교화산길 16-19,www.hp8119.co.kr,061-322-6119,061-322-4119
161,광주보훈요양병원,요양병원,국가보훈부,한국보훈복지의료공단법,공립(기타),,120,광주광역시 광산구 첨단월봉로 99(산월동),https://gwangjucare.bohun.or.kr/,062-604-5600,062-604-5611
162,광주시립요양병원,요양병원,광주광역시,광주광역시립정신병원 및 요양병원 설치 · 운영조례,의료법인,,258,광주광역시 광산구 삼도로 84-3 (삼거동),http://www.gcdh.or.kr/intro/,062-949-5200,062-949-5226
163,곡성군립노인전문요양병원,요양병원,전라남도,곡성군립노인전문병원설치 및 운영조례,공립(시군구립),,146,전라남도 곡성군 겸면 곡순로 1756,http://www.gshospital.kr/,061-360-9000,061-360-9000
164,장성공립노인전문요양병원,요양병원,전라남도,장성군공립노인전문요양병원설치 및 운영조례,공립(시군구립),,155,전라남도 장성군 장성읍 강변안길 100,https://www.jsh.or.kr/,061-395-1170,061-395-1170
165,광주시립정신병원,정신병원,광주광역시,광주광역시립정신병원 및 요양병원 설치 · 운영조례,의료법인,,202,광주광역시 광산구 삼도로 84-3 (삼거동),www.gcmh.or.kr,062-949-5200,062-949-5200
166,근로복지공단 광주의원,의원,고용노동부,산업재해보상보험법,공립(기타),,0,"광주광역시 광산구 무진대로 272-8, 1층 (우산동)",www.comwel.or.kr/suncheon/gwangju/intr/genl.jsp,062-713-5100,062-713-5100
167,전남대학교치과병원,치과병원,교육부,국립대학치과병원 설치법,공립(기타),,14,광주광역시 북구 용봉로 33 (용봉동),https://www.cnudh.co.kr,062-530-5500,062-530-5510
168,경북대학교병원,상급종합병원,교육부,국립대학병원 설치법,특수법인,권역응급의료센터,867,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",http://www.knuh.kr,053-200-5114,1666-5114
169,경상북도포항의료원,종합병원,경상북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,297,"경상북도 포항시 북구 용흥로 36 (용흥동, (용흥동))",www.pmc.or.kr,054-247-0551,054-247-0551
170,대구의료원,종합병원,대구광역시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,447,대구광역시 서구 평리로 157 (중리동),http://www.daegumc.co.kr,053-560-7575,053-560-7575
171,한국보훈복지의료공단 대구보훈병원,종합병원,국가보훈부,한국보훈복지의료공단법,특수법인,지역응급의료기관,456,대구광역시 달서구 월곡로 60 (도원동),http://daegu.bohun.or.kr,053-630-7000,053-630-7000
172,경상북도안동의료원,종합병원,경상북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,250,경상북도 안동시 태사2길 55 (북문동),www.amc.or.kr,054-850-6000,054-850-6000
173,경상북도김천의료원,종합병원,경상북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,284,경상북도 김천시 모암길 24 (모암동),www.gcmc.or.kr,054-432-8901,054-429-8114
174,상주적십자병원,종합병원,대한적십자사,대한적십자사 조직법,공립(기타),지역응급의료기관,205,경상북도 상주시 상서문로 53 (남성동),https://www.rch.or.kr/web/rchsanju/main/,054-534-3501,054-534-3501
175,칠곡경북대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),지역응급의료센터,907,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",http://www.knuch.kr,053-200-2000,053-200-2114
176,영주적십자병원,종합병원,대한적십자사,대한적십자사 조직법,공립(기타),지역응급의료기관,150,"경상북도 영주시 대학로 327-0 (가흥동,영주적십자병원)",https://www.rch.or.kr/web/rchyoungju/main,054-630-0100,054-630-0100
177,국군대구병원,병원,국방부,국군조직법,군병원,,100,경상북도 경산시 하양읍 대경로 425-41,https://demis.mil.kr/afmc/,053-750-1777,1688-9154
178,해군포항병원,병원,국방부,국군조직법,군병원,,120,경상북도 포항시 남구 오천읍 충무로 70,,054-299-2494,054-299-2452
179,울진군의료원,병원,경상북도,울진군의료원 설립 및 운영조례,공립(지방의료원),지역응급의료기관,91,경상북도 울진군 울진읍 현내항길 71,www.umc.or.kr,054-785-7015,054-785-7000
180,근로복지공단 대구병원,병원,고용노동부,산업재해보상보험법,공립(기타),,200,대구광역시 북구 학정로 515 (학정동),www.comwel.or.kr/daegu,053-715-7575,053-715-7575
181,경북권역재활병원,병원,경상북도,장애인복지법,공립(시군구립),,150,경상북도 경산시 미래로 120-0 (평산동),http://www.grrh.or.kr/,053-230-8800,053-230-8800
182,경상북도립안동노인전문요양병원,요양병원,경상북도,경상북도립노인전문요양병원 설치 및 운영 조례,공립(시도립),,363,경상북도 안동시 남후면 남일로 1463,www.andongyuri.co.kr,054-851-6000,054-851-6000
183,경상북도립경산노인전문요양병원,요양병원,경상북도,경상북도립노인전문요양병원 설치 및 운영 조례,공립(시도립),,299,경상북도 경산시 경안로 23-10 (상방동),www.gssilver.co.kr,053-819-0700,053-816-3322
184,대구광역시시지노인전문병원,요양병원,대구광역시,대구광역시 노인전문병원 설치·운영조례,재단법인,,244,"대구광역시 수성구 유니버시아드로 365, 대구광역시시지노인전문병원 (욱수동)",www.yes-naebumo.or.kr,053-819-2004,053-812-1212
185,고령군립요양병원,요양병원,경상북도,고령군립요양병원 설치 및 운영 조례,공립(시군구립),,87,경상북도 고령군 대가야읍 중앙로 31,http://plant.koreapress.net/,054-955-2661,054-956-8700
186,군립청도노인요양병원,요양병원,경상북도,청도군립 노인전문 요양병원 설치 및 운영 조례,공립(시군구립),,62,경상북도 청도군 화양읍 청화로 79-7,www.cdsilver.co.kr,054-370-5450,054-370-5450
187,봉화군립노인전문요양병원,요양병원,경상북도,봉화군립노인전문요양병원 설치 및 운영조례,공립(시군구립),,148,경상북도 봉화군 봉화읍 보밑길 9,www.bhhospital.co.kr,054-674-0011,054-674-0011
188,경상북도립김천노인전문요양병원,요양병원,경상북도,경상북도립노인전문요양병원 설치 및 운영 조례,공립(시도립),,256,경상북도 김천시 어모면 신애길 100-10,www.silverhp.com,054-420-7200,054-420-7200
189,경상북도포항노인전문요양병원,요양병원,경상북도,경상북도립노인전문요양병원 설치 및 운영 조례,공립(시도립),,172,경상북도 포항시 북구 용흥로 36 (용흥동),www.pmc.or.kr,054-247-0551,054-247-0551
190,대구광역시서부노인전문병원,요양병원,대구광역시,대구광역시 노인전문병원 설치·운영조례,공립(시도립),,242,대구광역시 서구 와룡로 298-13 (중리동),http://dgsbgh.daegumc.co.kr,053-570-7600,053-570-7575
191,구미시립노인요양병원,요양병원,경상북도,구미시립노인요양병원 설치 및 운영 조례,공립(시군구립),,249,경상북도 구미시 야은로 37-1 (부곡동),www.gumihosp.or.kr,054-440-1045,054-440-1000
192,경주시립노인전문요양병원,요양병원,경상북도,경주시립 노인전문요양병원 설치 및 운영 조례,공립(시군구립),,239,경상북도 경주시 현곡면 충현로 610-120,www.kjho.co.kr,054-743-6200,054-743-6200
193,영주시립노인전문요양병원,요양병원,경상북도,영주시립노인전문요양병원 설치 및 운영 조례,공립(시군구립),,245,경상북도 영주시 안정면 장안로 697,www.yjctm.com,054-631-1500,054-631-1500
194,칠곡군립노인요양병원,요양병원,경상북도,칠곡군립 노인전문 요양병원 설치 및 운영 조례,공립(시군구립),,149,경상북도 칠곡군 왜관읍 금남5길 58,https://chilgok8899.kr/new/intro.html,054-976-7777,054-976-7777
195,상주시립요양병원,요양병원,경상북도,상주시립요양병원 설치 및 운영 조례,공립(시군구립),,198,경상북도 상주시 용마로 190-45 (도남동),www.sjsh.co.kr,054-530-5300,054-530-5300
196,울진군의료원요양병원,요양병원,경상북도,울진군의료원 설립 및 운영조례,공립(지방의료원),,88,경상북도 울진군 울진읍 현내항길 71,www.umc.or.kr,053-785-7006,054-785-7000
197,의성군공립요양병원,요양병원,경상북도,의성군공립요양병원 설치 및 운영에 관한 조례,공립(시군구립),,196,경상북도 의성군 의성읍 안평의성로 1122-30,www.uschp.kr,054-834-7400,054-834-7400
198,시립문경요양병원,요양병원,경상북도,문경시 시립노인전문요양병원 설치 및 운영 조례,공립(시군구립),,200,경상북도 문경시 문경읍 여우목로 31,http://mghp.co.kr/,054-550-7000,054-550-7000
199,대구정신병원,정신병원,대구광역시,대구광역시 대구정신병원 설치 및 운영에 관한 조례,재단법인,,299,"대구광역시 달성군 화원읍 명천로 58, 대구광역시 시립희망원, 대구정신병원",http://www.daegumental.co.kr,053-630-3000,053-630-3000
200,경북대학교치과병원,치과병원,교육부,국립대학치과병원 설치법,공립(기타),,12,"대구광역시 중구 달구벌대로 2175 (삼덕동2가, 경북대학교치과병원)",http://www.knudh.kr,053-600-7114,053-600-7114
201,경산동의한방촌 한의원,한의원,경상북도,경산동의한방촌 운영에 관한 조례,공립(시군구립),,0,경상북도 경산시 남산면 삼성현공원로 38,https://www.hanbangchongbgs.co.kr/,053-853-6655,053-853-6653
202,경상남도마산의료원,종합병원,경상남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,298,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),http://www.mmc.or.kr/,055-249-1000,055-249-1000
203,경상국립대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),권역응급의료센터,840,경상남도 진주시 강남로 79 (칠암동),https://www.gnuh.co.kr,055-750-8000,055-750-8000
204,양산부산대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),권역응급의료센터,1142,경상남도 양산시 물금읍 금오로 20,https://www.pnuyh.or.kr/pnuyh/intro.do,055-360-1000,055-360-1000
205,근로복지공단 창원병원,종합병원,고용노동부,산업재해보상보험법,특수법인,,268,경상남도 창원시 성산구 창원대로 721 (중앙동),www.comwel.or.kr/changwon,055-280-7619,055-280-7777
206,창원경상국립대학교병원,종합병원,교육부,국립대학병원 설치법,공립(기타),지역응급의료센터,517,"경상남도 창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",https://www.gnuch.co.kr,055-214-2000,055-214-1000
207,국립마산병원,병원,질병관리청,질병관리청과 그 소속기관 직제,국립,,292,"경상남도 창원시 마산합포구 가포로 215 (가포동, 국립마산병원)",http://www.mnth.go.kr,055-246-1141,055-246-1141
208,통영적십자병원,병원,대한적십자사,대한적십자사 조직법,공립(기타),,99,경상남도 통영시 중앙로 97 (서호동),https://www.rch.or.kr/web/rchtyoung/main,055-644-8901,055-644-8901
209,거창적십자병원,병원,대한적십자사,대한적십자사 조직법,공립(기타),지역응급의료기관,91,경상남도 거창군 거창읍 중앙로 91,https://www.rch.or.kr/web/rchgchang/main,055-944-3251,055-944-3251
210,해군해양의료원,병원,국방부,국군조직법,군병원,,120,경상남도 창원시 진해구 진해대로963번길 35 (자은동),,055-907-6996,055-907-5714
211,시립창원요양병원,요양병원,경상남도,창원시 시립요양병원의 설치 및 운영에 관한 조례,공립(시군구립),,181,경상남도 창원시 의창구 북면 단내로 499-32,http://www.hyomind.co.kr,055-298-2442,055-298-2442
212,(의)환명의료재단 경상남도립김해노인전문병원,요양병원,경상남도,경상남도립 정신병원 및 노인전문병원 설치 조례,공립(시도립),,199,경상남도 김해시 김해대로 1814-39 (삼계동),http//www.gimhaenoin.co.kr,055-330-2000,055-330-2000
213,경상남도립양산노인전문병원,요양병원,경상남도,경상남도립 정신병원 및 노인전문병원 설치 조례,공립(시도립),,214,경상남도 양산시 상북면 양산대로 1870-64,http://www.gygh.co.kr,055-375-7275,055-375-7275
214,거창군립 노인요양병원,요양병원,경상남도,거창군립노인요양병원 설치 및 운영조례,공립(시군구립),,125,경상남도 거창군 거창읍 운정3길 180,http://www.noin3333.co.kr/,055-943-3333,055-943-3333
215,의료법인진주의료재단 경상남도립통영노인전문병원,요양병원,경상남도,경상남도립 정신병원 및 노인전문병원 설치 조례,공립(시도립),,259,경상남도 통영시 도산면 남해안대로 1818,http://www.gnsilver.com,055-640-1900,055-640-1900
216,남해군립노인전문병원,요양병원,경상남도,남해군립 노인전문병원 설치 및 운영 조례,공립(시군구립),,95,경상남도 남해군 남해읍 화전로 173-1 (남해노인전문병원),http://nhsilver.com,055-864-2201,055-864-2201
217,의료법인 행복한의료재단 경남도립사천노인전문병원,요양병원,경상남도,경상남도립 정신병원 및 노인전문병원 설치 조례,공립(시도립),,227,경상남도 사천시 축동면 서삼로 1110-35,http://www.4000silver.com,055-794-2900,055-794-2900
218,시립마산요양병원,요양병원,경상남도,창원시 시립요양병원의 설치 및 운영에 관한 조례,공립(시군구립),,288,경상남도 창원시 마산합포구 현동로 15 (우산동),http://www.masanhp.co.kr/main/index.php,055-221-2700,055-221-2700
219,울산광역시립노인병원,요양병원,울산광역시,울산광역시립노인병원 설치 및 운영 조례,공립(시도립),,149,울산광역시 울주군 온양읍 덕남로 243,www.ulsangh.co.kr,052-231-7900,052-231-7900
220,의령군립노인전문병원,요양병원,경상남도,의령군립 노인전문병원 설치 및 운영조례,공립(시군구립),,143,경상남도 의령군 부림면 대한로 1655,https://blog.naver.com/5740009,055-574-0009,055-574-0009
221,국립부곡병원,정신병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,302,경상남도 창녕군 부곡면 부곡로 145,www.bgnmh.go.kr,055-536-6440,055-536-6440
222,의료법인 행복한의료재단 경남도립정신병원,정신병원,경상남도,경상남도립 정신병원 및 노인전문병원 설치 조례,공립(시도립),,81,경상남도 사천시 축동면 서삼로 1110-35,http://4000maum.com/,055-786-8400,
223,양산부산대학교치과병원,치과병원,교육부,국립대학치과병원 설치법,공립(기타),,36,경상남도 양산시 물금읍 금오로 20,http://www.pnudh.co.kr,055-360-5114,055-360-5114
224,양산부산대학교한방병원,한방병원,교육부,국립대학병원 설치법,공립(기타),,100,경상남도 양산시 물금읍 금오로 20 (양산부산대학교병원),https://www.pnukh.or.kr/pnukh/index.do,055-360-5555,
225,제주특별자치도 서귀포의료원,종합병원,제주특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,251,"제주특별자치도 서귀포시 장수로 47-  (동홍동,(동홍동))",http://jjsmc.or.kr,064-730-3000,064-730-3100
226,제주대학교병원,종합병원,교육부,국립대학병원 설치법,특수법인,지역응급의료센터,600,"제주특별자치도 제주시 아란13길 15-0, 0동 0층 0호 (아라일동,제주대학교병원)",http://www.jejunuh.co.kr,064-717-1114,064-717-1114
227,제주특별자치도제주의료원,병원,제주특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),,200,"제주특별자치도 제주시 산천단남길 10, 제주의료원 (아라일동)",http://www.jejumed.com/,064-720-2222,064-720-2222
228,제주권역재활병원,병원,제주특별자치도,장애인복지법,공립(기타),,138,제주특별자치도 서귀포시 동문로 1 (서귀동),http://www.jrh.or.kr,064-730-9015,064-730-9000
229,제주의료원부속요양병원,요양병원,제주특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),,184,"제주특별자치도 제주시 산천단남길 10 (아라일동, 제주의료원)",http://www.jejumed.com/,064-720-2222,064-720-2222
230,성남시노인보건센터의원,의원,경기도,성남시 노인보건센터 설치 및 운영에 관한 조례,공립(시군구립),,0,"경기도 성남시 중원구 금상로 137, 1층 (상대원동)",https://www.scsh.or.kr/,031-739-3004,031-739-3900
231,경기도립 안성휴게소의원,의원,경기도,경기도 의료취약지 의료기관 설치 및 운영 조례,공립(시도립),,0,경기도 안성시 원곡면 경부고속도로 372,https://blog.naver.com/anseong2121,031-662-2402,
