시도,시군구,시설유형,법인,시설명,주소,전화,종사자정원,종사자현원
전남,장성군,복지관,사)한국지체장애인협회,장성군장애인종합복지관,전남 장성군 장성읍 강변안길 90,061-393-6336,22,21
전남,진도군,복지관,임마누엘복지재단,진도군장애인종합복지관,전라남도 진도군 진도읍 남산로 50-4,061-543-8005,24,23
전남,해남군,복지관,대한불교조계종사회복지재단,해남군장애인종합복지관,전남 해남군 해남읍 신안길 2-20,061-536-6311,23,22
경북,경산시,복지관,사회복지법인 기아대책,경산시장애인종합복지관,경산시 경청로222길 79,053-719-2340,26,26
경북,경주시,복지관,사회복지법인대한불교조계종불국사복지재단,경주시장애인종합복지관,경북 경주시 유림로 5번길 99-11,054-776-7524,27,23
경북,구미시,복지관,한국교통장애인협회,구미시장애인종합복지관,경북 구미시 공원로 340,054-457-3172,42,42
경북,문경시,복지관,한국지체장애인협회,문경시장애인종합복지관,경북 문경시 시청2길 34,054-556-0042,29,29
경북,봉화군,복지관,애명,경상북도장애인종합복지관봉화분관,봉화군 봉화읍 내성천2길 93,054-674-3311,4,4
경북,상주시,복지관,천주교안동교구사회복지회,상주시장애인종합복지관,경상북도 상주시 만산8길 11,054-534-6933,32,32
경북,안동시,복지관,애명,경상북도장애인종합복지관,안동시 북후면 광평2길 106-25,054-858-7283,31,28
경북,안동시,복지관,대한불교조계종,안동시장애인종합복지관,안동시 옥동1길 21(옥동),054-855-7801,23,23
경북,영덕군,복지관,애명,경상북도장애인종합복지관영덕분관,"경상북도 영덕군 영덕읍 경동로 8367, 1층",054-734-7585,4,4
경북,영양군,복지관,사회복지법인 애명,경상북도장애인종합복지관영양분관,경상북도 영양군 영양읍 동서대로90,054-683-9501,4,4
경북,영주시,복지관,대한불교조계종사회복지재단,영주시장애인종합복지관,경상북도 영주시 원당로52번길 25,054-633-6415,26,26
경북,영천시,복지관,한국지체장애인협회,영천시장애인종합복지관,경북 영천시 보목2길 10,054-333-3535,22,22
경북,울진군,복지관,고우이복지재단,울진군장애인종합복지관,경북 울진군 울진읍 울진북로 496-12,054-781-8157,20,21
경북,의성군,복지관,사회복지법인 애명,경북장애인종합복지관 의성분관,"경북 의성군 의성읍 잔보들길 130, 2층",054-833-1442,4,4
경북,청도군,복지관,휴먼복지회,청도군장애인복지관,경북 청도군 청도읍 새마을로 1102-12,054-373-0058,25,25
경북,칠곡군,복지관,사)한국지체장애인협회,칠곡군장애인종합복지관,경상북도 칠곡군 왜관읍 관문로1길 24-5,054-971-4646,23,23
경북,포항시,복지관,대구가톨릭사회복지회,포항시장애인 종합복지관,경북 포항시 남구 형산강북로 389,054-282-4009,22,21
경북,포항시,복지관,사회복지법인 열린가람,포항시북부장애인 종합복지관,경북 포항시 북구 새천년대로 1486(여남동),054-231-1117,28,25
경북,포항시,복지관,사단법인 경북시각장애인연합회,경상북도 시각장애인복지관,경북 포항시 남구 섬안로 175(대도동),054-253-5900,22,22
경북,포항시,복지관,경북행복재단,경상북도여성 장애인복지관,경북 포항시 남구 오천읍 냉천로 252번길5-10,054-290-9200,20,20
경남,거제시,복지관,(재)거제시희망복지재단,거제시장애인복지관,거제시 양정1길 45 (양정동),055-636-4500,22,20
경남,거창군,복지관,대한불교조계종 사회복지재단,거창군삶의쉼터장애인복지관,경상남도 거창군 거창읍 거안로 1266-41,055-949-0700,19,22
경남,고성군,복지관,천주교마산교구사회복지회,고성군장애인복지센터 ,경상남도 고성군 고성읍 송학고분로 195,055-674-8266,8,8
경남,김해시,복지관,재단법인 김해시복지재단,김해시장애인종합복지관,경상남도 김해시 삼계로140,055-310-8430,24,22
경남,김해시,복지관,재단법인 김해시복지재단,김해시서부장애인종합복지관,경상남도 김해시 대청로176번길 30,055-310-3350,20,19
경남,남해군,복지관,전영,남해장애인종합복지관,경남 남해군 이동면 남해대로2394-7,055-862-0012,22,22
경남,밀양시,복지관,사회복지법인 인애복지재단,밀양시장애인복지관,경남 밀양시 가곡14길 22,055-350-1700,25,26
경남,사천시,복지관,(사)경상남도장애인부모연대,사천시장애인종합복지관,경상남도 사천시 용현면 진삼로 447,055-835-2571,30,31
경남,산청군,복지관,사회복지법인 두류복지재단,산엔청복지관,"본관)경상남도 산청군 산청읍 중앙로 67, 분관)경상남도 산청군 단성면 사직단로440번길 7",055-974-4001,33,33
경남,양산시,복지관,(재)양산시복지재단,양산시장애인복지관,양산시 북안남5길 15,055-367-9655,23,28
경남,양산시,복지관,(재)양산시복지재단,시나브로복지관,양산시 덕계7길 24,055-785-0726,22,31
경남,진주시,복지관,전영,진주시장애인종합복지관,경상남도 진주시 동진로273(상대동),055-762-0179,24,24
경남,창녕군,복지관,경상남도지체장애인협회창녕군지회,창녕군장애인종합복지관,경남 창녕군 창녕읍 탐하로 244,055-533-1840,27,30
경남,창원시,복지관,사회복지법인범숙,창원시장애인종합복지관,경남 창원시 의창구 봉곡로 97번길 87,055-237-6485,21,21
경남,창원시,복지관,경상남도사회서비스원,경상남도장애인종합복지관,경남 창원시 의창구 봉곡로97번길 85,055-237-2223,29,29
경남,창원시,복지관,천주교마산교구사회복지회,마산장애인복지관,창원시 마산합포구 반월서7길59,055-247-5194,20,21
경남,창원시,복지관,마산교구천주교회유지재단,진해장애인복지관,경남 창원시 진해구 진해대로 1101,055-540-0400,20,20
경남,통영시,복지관,통영시사회복지협의회,통영시장애인종합복지관,경상남도 통영시 용남면 기호바깥길 7-89,055-650-9900,26,26
경남,하동군,복지관,지자체,하동군노인장애인종합복지관,경상남도 하동군 하동읍 중앙로 89,055-880-9900,19,19
경남,함안군,복지관,사)경상남도지체장애인연합회 함안군지회,함안군장애인재활센터,경남 함안군 가야읍 중앙남길70  ,055-584-3052,3,3
경남,함양군,복지관,사회복지법인함양군복지회,함양군장애인복지센터,경남 함양군 함양읍 거면강변길 25,055-963-8997,5,5
경남,합천군,복지관,천주교마산교구사회복지회,합천군장애인복지센터,"경상남도 합천군 합천읍 남정길 79, 3층",055-931-1992,4,4
제주,서귀포시,복지관,춘강,서귀포시장애인종합복지관,제주특별자치도 서귀포시 인정오름 24,064-735-2600,38,46
제주,제주시,복지관,사회복지법인 농애원,제주도농아복지관,제주특별자치도 제주시 우령서로16길 19(외도일동),064-711-9094,28,33
제주,제주시,복지관,제주특별자치도사회서비스원,우리복지관,제주시 산천단남길 40,064-758-7942,26,29
제주,제주시,복지관,한국지체장애인협회,탐라장애인종합복지관,제주시 광양4길 32,064-710-9990,64,64
제주,제주시,복지관,춘강,제주특별자치도장애인종합복지관,제주시 516로3120,064-702-0295,42,52
제주,제주시,복지관,사회복지법인 삼다,제주시각장애인복지관,제주특별자치도 제주시 아봉로 433,064-710-1200,29,31
